-8.5	0.074	0.302	0.329
-7.5	0.070	0.303	0.344
-6.5	0.064	0.301	0.353
-5.5	0.059	0.294	0.346
-4.5	0.054	0.281	0.336
-3.5	0.049 	0.263	0.361
-2.5	0.044	0.238	0.436
-1.5	0.038	0.208	0.526
-0.5	0.033 	0.173	0.587
0.5	0.028	0.135	0.589
1.5	0.022	0.095	0.524
2.5	0.017	0.057	0.407
3.5	0.012	0.036	0.285
4.5	0.007	0.056	0.244
5.5	0.005	0.091	0.300
6.5	0.007	0.126	0.357
7.5	0.012	0.156	0.360
8.5	0.017	0.182	0.304
9.5	0.022	0.202	0.208
